"tomatometer_rating","movie_title","tomatometer_count","genre"
91,Panic,56,Drama
91,Phantom Of The Opera,46,"Classics, Drama, Horror"
91,Shall We Dance? (Shall We Dansu?),34,"Art House & International, Comedy, Drama, Romance"
91,Strange Culture,22,"Documentary, Drama, Special Interest"
91,The Accused,22,"Drama, Mystery & Suspense"
91,The Elephant Man,47,Drama
91,The Hound of the Baskervilles,11,"Classics, Drama, Horror, Mystery & Suspense"
91,The Hunchback of Notre Dame,23,"Classics, Drama, Horror, Special Interest"
91,The Magic Flute (Trollfl�jten),23,"Art House & International, Comedy, Musical & Performing Arts, Science Fiction & Fantasy, Television, Romance"
91,The Mark of Zorro,11,"Action & Adventure, Classics"
91,The Oath,23,"Documentary, Special Interest"
91,The Wrong Man,23,"Classics, Drama"
91,Titanic,11,"Action & Adventure, Classics, Drama, Romance"
91,Vengeance (Fuk sau),22,"Action & Adventure, Art House & International, Mystery & Suspense"
90,"10 Cloverfield Lane",301,"Drama, Mystery & Suspense, Science Fiction & Fantasy"
90,"1922",40,"Drama, Mystery & Suspense"
90,"4 Days in France (Jours de France)",20,Drama
90,A Bigger Splash,178,"Art House & International, Drama, Mystery & Suspense, Special Interest"
90,A Man Called Ove (En man som heter Ove),112,"Art House & International, Comedy, Drama"
90,A Most Violent Year,221,"Action & Adventure, Drama"
90,A Place at the Table,61,Documentary
90,A Serious Man,221,"Comedy, Drama"
90,A Star Is Born,496,Drama
90,Abraham Lincoln,10,"Classics, Drama"
90,Anastasia,10,"Classics, Drama"
90,Betty,10,"Art House & International, Drama"
90,Billy Budd,10,"Action & Adventure, Classics, Drama"
90,Bombshell (Blonde Bombshell),10,"Classics, Comedy, Drama, Romance"
90,Butch Cassidy and the Sundance Kid,49,"Action & Adventure, Classics, Western"
90,Capote,194,Drama
90,Iron Monkey,94,"Action & Adventure, Art House & International, Drama"
90,Judex,10,"Action & Adventure, Art House & International, Classics, Drama"
90,Little Fish,29,"Drama, Mystery & Suspense"
90,Little Shop of Horrors,51,"Comedy, Horror, Musical & Performing Arts, Science Fiction & Fantasy"
90,Matilda,21,"Comedy, Kids & Family, Special Interest"
90,Mother,39,"Comedy, Drama"
90,Motherland,10,"Documentary, Special Interest"
